date,interval,data_type,key
2025-11-14,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-14.zip
2025-11-15,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-15.zip
2025-11-15,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-15.zip
2025-11-15,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-15.zip
2025-11-16,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-16.zip
2025-11-16,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-16.zip
2025-11-16,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-16.zip
2025-11-17,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-17.zip
2025-11-17,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-17.zip
2025-11-17,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-17.zip
2025-11-18,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-18.zip
2025-11-18,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-18.zip
2025-11-18,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-18.zip
2025-11-19,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-19.zip
2025-11-19,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-19.zip
2025-11-19,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-19.zip
2025-11-20,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-20.zip
2025-11-20,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-20.zip
2025-11-20,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-20.zip
2025-11-21,daily,aggTrades,data/futures/um/daily/aggTrades/MMTUSDT/MMTUSDT-aggTrades-2025-11-21.zip
2025-11-21,daily,bookDepth,data/futures/um/daily/bookDepth/MMTUSDT/MMTUSDT-bookDepth-2025-11-21.zip
2025-11-21,daily,metrics,data/futures/um/daily/metrics/MMTUSDT/MMTUSDT-metrics-2025-11-21.zip
